datetime	open	high	low	close	volume
2026-08-01 00:00:00	62857.8	62872	62857.7	62862.8	14.617
2026-08-01 00:01:00	62862.8	62894	62856.6	62893.9	26.097
2026-08-01 00:02:00	62893.9	62929.6	62893.9	62929.5	30.738
2026-08-01 00:03:00	62929.5	62936.1	62925.7	62931.3	27.665
2026-08-01 00:04:00	62931.3	62931.3	62914.7	62921	12.854
2026-08-01 00:05:00	62921	62921	62899.1	62920.6	12.599
2026-08-01 00:06:00	62920.6	62920.6	62910.8	62910.9	4.302
2026-08-01 00:07:00	62910.9	62910.9	62910.8	62910.9	2.574
2026-08-01 00:08:00	62910.9	62937	62910.9	62937	10.716
2026-08-01 00:09:00	62937	62937	62916.7	62916.7	14.242
2026-08-01 00:10:00	62916.7	62937.7	62916.7	62936.6	6.234
2026-08-01 00:11:00	62936.6	62936.6	62934	62934	4.112
2026-08-01 00:12:00	62934	62939.1	62934	62934.2	4.575
2026-08-01 00:13:00	62934.2	62937	62934.1	62937	1.434
2026-08-01 00:14:00	62937	62943.4	62921.2	62921.2	16.691
2026-08-01 00:15:00	62921.2	62937.1	62917.6	62937	4.05
2026-08-01 00:16:00	62937	62940	62937	62939.9	1.587
2026-08-01 00:17:00	62939.9	62940	62939.9	62940	0.888
2026-08-01 00:18:00	62940	62940	62908	62908	12.255
2026-08-01 00:19:00	62908	62940.9	62904.7	62933.4	13.309
2026-08-01 00:20:00	62933.4	62933.4	62923.6	62923.7	1.43
2026-08-01 00:21:00	62923.7	62923.7	62923.6	62923.6	0.483
2026-08-01 00:22:00	62923.6	62941.5	62914.7	62934.9	11.149
2026-08-01 00:23:00	62934.9	62940	62934.9	62939.9	2.611
2026-08-01 00:24:00	62939.9	62940	62938	62940	4.356
2026-08-01 00:25:00	62940	62953	62940	62945.9	5.827
2026-08-01 00:26:00	62945.9	62963	62945.8	62960.8	4.102
2026-08-01 00:27:00	62960.8	62968.5	62960.8	62964.9	5.577
2026-08-01 00:28:00	62964.9	62967.2	62964.9	62967.2	2.202
2026-08-01 00:29:00	62967.2	62970.8	62940.3	62940.3	39.567
2026-08-01 00:30:00	62940.3	62958.7	62940.3	62958.6	4.548
2026-08-01 00:31:00	62958.6	62958.6	62935	62935	9.477
2026-08-01 00:32:00	62935	62935.1	62905	62910.6	17.858
2026-08-01 00:33:00	62910.6	62921.2	62910.6	62913.3	2.3
2026-08-01 00:34:00	62913.3	62958.6	62913.3	62954.6	50.572
2026-08-01 00:35:00	62954.6	62958.7	62945.5	62947.7	7.375
2026-08-01 00:36:00	62947.7	62955	62947.7	62953	2.641
2026-08-01 00:37:00	62953	62953	62946.2	62946.2	3.748
2026-08-01 00:38:00	62946.2	62946.3	62938.5	62938.5	6.873
2026-08-01 00:39:00	62938.5	62962.9	62938.1	62962	33.144
2026-08-01 00:40:00	62962	62962.1	62946.6	62958.1	7.773
2026-08-01 00:41:00	62958.1	62966.8	62958.1	62966.8	3.18
2026-08-01 00:42:00	62966.8	62969	62960.5	62966.4	3.418
2026-08-01 00:43:00	62966.4	62966.5	62960.8	62960.8	2.705
2026-08-01 00:44:00	62960.8	62970.1	62960.7	62970.1	2.343
2026-08-01 00:45:00	62970.1	62985.8	62965.5	62975.2	15.935
2026-08-01 00:46:00	62975.2	62995	62975.2	62984.1	27.321
2026-08-01 00:47:00	62984.1	63022.1	62977	62977.1	111.442
2026-08-01 00:48:00	62977.1	62977.1	62977	62977.1	4.156
2026-08-01 00:49:00	62977.1	62977.1	62970.7	62975	5.079
2026-08-01 00:50:00	62975	62982	62968.5	62968.5	9.679
2026-08-01 00:51:00	62968.5	62968.5	62955	62955	16.008
2026-08-01 00:52:00	62955	62955.1	62937.9	62947.3	8.035
2026-08-01 00:53:00	62947.3	62947.4	62947.3	62947.4	0.606
2026-08-01 00:54:00	62947.4	62949.6	62940.3	62940.3	5.193
2026-08-01 00:55:00	62940.3	62940.4	62931	62931	1.73
2026-08-01 00:56:00	62931	62931	62916.2	62916.3	13.014
2026-08-01 00:57:00	62916.3	62928.1	62903.9	62907.7	19.641
2026-08-01 00:58:00	62907.7	62907.8	62900	62904.1	7.735
2026-08-01 00:59:00	62904.1	62907.9	62904.1	62907.9	3.008
2026-08-01 01:00:00	62907.9	62928.7	62907.8	62928.6	4.046
2026-08-01 01:01:00	62928.6	62928.7	62918.4	62918.5	6.286
2026-08-01 01:02:00	62918.5	62927.6	62918.5	62927.5	1.672
2026-08-01 01:03:00	62927.5	62927.6	62919.9	62919.9	2.727
2026-08-01 01:04:00	62919.9	62928	62919.9	62928	1.335
2026-08-01 01:05:00	62928	62928	62923.2	62923.2	0.932
2026-08-01 01:06:00	62923.2	62931.4	62920.2	62924.2	7.255
2026-08-01 01:07:00	62924.2	62924.4	62924.2	62924.4	1.097
2026-08-01 01:08:00	62924.4	62924.4	62916.3	62918.1	2.158
2026-08-01 01:09:00	62918.1	62933.4	62916.4	62927.4	13.801
2026-08-01 01:10:00	62927.4	62927.5	62912.3	62922.1	2.791
2026-08-01 01:11:00	62922.1	62933.5	62922.1	62933.5	2
2026-08-01 01:12:00	62933.5	62938.1	62933.4	62938.1	2.29
2026-08-01 01:13:00	62938.1	62938.1	62938	62938.1	1.016
2026-08-01 01:14:00	62938.1	62944	62938	62944	2.256
2026-08-01 01:15:00	62944	62948.2	62944	62948.1	5.178
2026-08-01 01:16:00	62948.1	62952.5	62930.7	62939.2	12.746
2026-08-01 01:17:00	62939.2	62945.2	62939.1	62945.1	1.165
2026-08-01 01:18:00	62945.1	62945.2	62945.1	62945.2	2.531
2026-08-01 01:19:00	62945.2	62945.2	62918.9	62919	7.44
2026-08-01 01:20:00	62919	62931.4	62918.9	62930.6	2.669
2026-08-01 01:21:00	62930.6	62934	62921.4	62930.1	3.508
2026-08-01 01:22:00	62930.1	62949.7	62930	62949.6	2.845
2026-08-01 01:23:00	62949.6	62966.2	62949.6	62966.2	3.535
2026-08-01 01:24:00	62966.2	62966.2	62907.9	62915.3	56.716
2026-08-01 01:25:00	62915.3	62942.9	62915.3	62938	9.517
2026-08-01 01:26:00	62938	62938	62903.9	62903.9	17.925
2026-08-01 01:27:00	62903.9	62903.9	62889.6	62898	19.322
2026-08-01 01:28:00	62898	62903.3	62897.9	62903.2	9.72
2026-08-01 01:29:00	62903.2	62923.8	62888.9	62920.3	79.277
2026-08-01 01:30:00	62920.3	62920.3	62898	62905.4	7.722
2026-08-01 01:31:00	62905.4	62913	62905.3	62909.6	3.196
2026-08-01 01:32:00	62909.6	62918.5	62909.5	62909.7	6.426
2026-08-01 01:33:00	62909.7	62909.8	62900	62900.1	8.955
2026-08-01 01:34:00	62900.1	62900.1	62890.1	62893.2	9.221
2026-08-01 01:35:00	62893.2	62902	62893.1	62895.1	14.357
2026-08-01 01:36:00	62895.1	62895.2	62895.1	62895.2	2.634
2026-08-01 01:37:00	62895.2	62921.1	62895.1	62921.1	18.131
2026-08-01 01:38:00	62921.1	62924.6	62921	62924.6	1.82
2026-08-01 01:39:00	62924.6	62924.6	62924.5	62924.6	2.557
2026-08-01 01:40:00	62924.6	62937.8	62924.5	62937.7	2.005
2026-08-01 01:41:00	62937.7	62948.6	62937.7	62948.6	1.214
2026-08-01 01:42:00	62948.6	62951.6	62948.5	62951.6	3.522
2026-08-01 01:43:00	62951.6	62951.6	62940.1	62940.2	5.853
2026-08-01 01:44:00	62940.2	62940.2	62940.1	62940.2	0.573
2026-08-01 01:45:00	62940.2	62940.2	62940.1	62940.2	1.163
2026-08-01 01:46:00	62940.2	62940.8	62940.1	62940.7	1.979
2026-08-01 01:47:00	62940.7	62948.4	62940.7	62948.4	1.828
2026-08-01 01:48:00	62948.4	62951.5	62940.2	62951.5	3.855
2026-08-01 01:49:00	62951.5	62951.5	62940.2	62940.3	9.035
2026-08-01 01:50:00	62940.3	62940.3	62917.3	62917.3	27.034
2026-08-01 01:51:00	62917.3	62917.3	62917.2	62917.2	1.409
2026-08-01 01:52:00	62917.2	62942.6	62917.2	62942.6	3.867
2026-08-01 01:53:00	62942.6	62942.7	62940.1	62940.1	1.388
2026-08-01 01:54:00	62940.1	62944.9	62940.1	62940.2	4.756
2026-08-01 01:55:00	62940.2	62940.2	62926.1	62926.2	3.732
2026-08-01 01:56:00	62926.2	62928.6	62926.1	62928.5	1.934
2026-08-01 01:57:00	62928.5	62928.9	62928.5	62928.9	5.304
2026-08-01 01:58:00	62928.9	62936.3	62928.8	62935.4	7.752
2026-08-01 01:59:00	62935.4	62946.7	62930.4	62945.7	28.253
2026-08-01 02:00:00	62945.7	62949.3	62945.6	62949.3	2.148
2026-08-01 02:01:00	62949.3	62963.7	62949.3	62963.6	16.864
2026-08-01 02:02:00	62963.6	62963.6	62963.5	62963.5	2.173
2026-08-01 02:03:00	62963.5	62963.7	62963.5	62963.7	3.334
2026-08-01 02:04:00	62963.7	62963.8	62963.6	62963.8	18.87
2026-08-01 02:05:00	62963.8	62963.8	62957.1	62957.2	12.961
2026-08-01 02:06:00	62957.2	62957.2	62957.1	62957.2	6.947
2026-08-01 02:07:00	62957.2	62957.2	62957.1	62957.1	1.289
2026-08-01 02:08:00	62957.1	62957.2	62957.1	62957.2	0.21
2026-08-01 02:09:00	62957.2	62957.2	62951.9	62951.9	7.522
2026-08-01 02:10:00	62951.9	62954.7	62951.9	62954.7	0.934
2026-08-01 02:11:00	62954.7	62960	62954.7	62960	2.472
2026-08-01 02:12:00	62960	62960	62959.9	62960	1.979
2026-08-01 02:13:00	62960	62996.7	62960	62993.2	16.743
2026-08-01 02:14:00	62993.2	62995.2	62980.2	62988.7	14.182
2026-08-01 02:15:00	62988.7	63014.6	62988.7	63008.7	15.427
2026-08-01 02:16:00	63008.7	63013	63001.6	63001.7	15.32
